Título;Downloads;URL
Simple Sabotage Field Manual;25005 downloads;https://www.gutenberg.org/ebooks/26184
Faust [part 1]. Translated Into English in the Original Metres;24932 downloads;https://www.gutenberg.org/ebooks/14591
Complete Original Short Stories of Guy De Maupassant;24717 downloads;https://www.gutenberg.org/ebooks/3090
The Secret Garden;24479 downloads;https://www.gutenberg.org/ebooks/113
Grimms' Fairy Tales;24276 downloads;https://www.gutenberg.org/ebooks/2591
Persuasion;23974 downloads;https://www.gutenberg.org/ebooks/105
Hard Times;23896 downloads;https://www.gutenberg.org/ebooks/786
The Romance of Lust: A classic Victorian erotic novel;23548 downloads;https://www.gutenberg.org/ebooks/30254
The Importance of Being Earnest: A Trivial Comedy for Serious People;23443 downloads;https://www.gutenberg.org/ebooks/844
Don Quijote (Spanish);23308 downloads;https://www.gutenberg.org/ebooks/2000
Candide;23033 downloads;https://www.gutenberg.org/ebooks/19942
The Tale of Peter Rabbit;22947 downloads;https://www.gutenberg.org/ebooks/14838
Beowulf: An Anglo-Saxon Epic Poem;22919 downloads;https://www.gutenberg.org/ebooks/16328
The Devil's Dictionary;22670 downloads;https://www.gutenberg.org/ebooks/972
The divine comedy;22509 downloads;https://www.gutenberg.org/ebooks/8800
Bleak House;22497 downloads;https://www.gutenberg.org/ebooks/1023
Great Expectations;22479 downloads;https://www.gutenberg.org/ebooks/1400
Uncle Tom's Cabin;22405 downloads;https://www.gutenberg.org/ebooks/203
Wuthering Heights;22134 downloads;https://www.gutenberg.org/ebooks/768
The Iliad;22068 downloads;https://www.gutenberg.org/ebooks/2199
The Mysterious Affair at Styles;22064 downloads;https://www.gutenberg.org/ebooks/863
Little Brother;22047 downloads;https://www.gutenberg.org/ebooks/30142
Just so stories;22022 downloads;https://www.gutenberg.org/ebooks/2781
"Laura Middleton; Her Brother and her Lover";22006 downloads;https://www.gutenberg.org/ebooks/28522
The Slayer of Souls;21978 downloads;https://www.gutenberg.org/ebooks/36281
Hamlet, Prince of Denmark;21958 downloads;https://www.gutenberg.org/ebooks/1524
The History of Don Quixote, Volume 1, Complete;21946 downloads;https://www.gutenberg.org/ebooks/5921
The Comic Poems of Thomas Hood;21924 downloads;https://www.gutenberg.org/ebooks/56712
Plain Facts for Old and Young;21921 downloads;https://www.gutenberg.org/ebooks/19924
Siddhartha;21908 downloads;https://www.gutenberg.org/ebooks/2500
Du côté de chez Swann (French);21857 downloads;https://www.gutenberg.org/ebooks/2650
The Wit and Humor of America, Volume X (of X);21837 downloads;https://www.gutenberg.org/ebooks/24434
Notre-Dame de Paris - Tome 1 (French);21736 downloads;https://www.gutenberg.org/ebooks/70891
Sex-education;21693 downloads;https://www.gutenberg.org/ebooks/31352
Notre-Dame de Paris;21640 downloads;https://www.gutenberg.org/ebooks/2610
The three musketeers;21609 downloads;https://www.gutenberg.org/ebooks/1257
The Trial;21555 downloads;https://www.gutenberg.org/ebooks/7849
The Jungle;21526 downloads;https://www.gutenberg.org/ebooks/140
The island of Doctor Moreau;21509 downloads;https://www.gutenberg.org/ebooks/159
The Phantom of the Opera;21490 downloads;https://www.gutenberg.org/ebooks/175
White Fang;21474 downloads;https://www.gutenberg.org/ebooks/910
Anne of the Island;21433 downloads;https://www.gutenberg.org/ebooks/51
The possessed :  or, The devils;21376 downloads;https://www.gutenberg.org/ebooks/8117
Triplanetary;21341 downloads;https://www.gutenberg.org/ebooks/32706
The sexual life of woman in its physiological, pathological and hygienic aspects;21338 downloads;https://www.gutenberg.org/ebooks/63274
Studies in the Psychology of Sex, Volume 1;21297 downloads;https://www.gutenberg.org/ebooks/13610
The Memoirs of Sherlock Holmes;21271 downloads;https://www.gutenberg.org/ebooks/834
Die Verwandlung (German);21208 downloads;https://www.gutenberg.org/ebooks/22367
Black Beauty;21173 downloads;https://www.gutenberg.org/ebooks/271
The Life and Amours of the Beautiful, Gay and Dashing Kate Percival;21140 downloads;https://www.gutenberg.org/ebooks/29827
A Midsummer Night's Dream;21132 downloads;https://www.gutenberg.org/ebooks/1514
"The Convent School; Or, Early Experiences of a Young Flagellant";21060 downloads;https://www.gutenberg.org/ebooks/60825
